,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
180828,Bosnia and Herzegovina,GDP at market prices (current US$),NY.GDP.MKTP.CD,15332750454.93,17201815316.92,4285169932.84,C
184493,Botswana,GDP at market prices (current US$),NY.GDP.MKTP.CD,11606930255.78,10942061904.54,2980870899.80,C
188158,Brazil,GDP at market prices (current US$),NY.GDP.MKTP.CD,1717768877310.72,1681422061638.67,704455870826.40,A
191823,British Virgin Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,A
195488,Brunei Darussalam,GDP at market prices (current US$),NY.GDP.MKTP.CD,13375143491.49,12977532492.15,4257754120.08,C
199153,Bulgaria,GDP at market prices (current US$),NY.GDP.MKTP.CD,44602375816.19,51247256273.09,14431545415.61,B
202818,Burkina Faso,GDP at market prices (current US$),NY.GDP.MKTP.CD,8026365949.52,8369406095.83,2900048557.70,C
206483,Burundi,GDP at market prices (current US$),NY.GDP.MKTP.CD,1753782517.77,1675707910.20,621031854.90,D
210148,Cabo Verde,GDP at market prices (current US$),NY.GDP.MKTP.CD,1476615512.41,1688063975.54,450389646.26,D
213813,Cambodia,GDP at market prices (current US$),NY.GDP.MKTP.CD,10017450557.95,10376882971.89,3638240942.77,C
217478,Cameroon,GDP at market prices (current US$),NY.GDP.MKTP.CD,23911045270.73,26080872030.74,6609723449.58,C
221143,Canada,GDP at market prices (current US$),NY.GDP.MKTP.CD,1468135712190.45,1507054199601.47,340971250582.70,A
224808,Cayman Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,3207032512.94,3207032512.94,,D
228473,Central African Republic,GDP at market prices (current US$),NY.GDP.MKTP.CD,1729191999.96,1839926879.35,416448163.65,D
232138,Chad,GDP at market prices (current US$),NY.GDP.MKTP.CD,9182996379.78,9802708356.46,3453804609.19,C
235803,Channel Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,9114438739.35,9251722840.18,2106578641.42,C
239468,Chile,GDP at market prices (current US$),NY.GDP.MKTP.CD,189754392790.67,176622232228.91,64501306267.30,B
243133,China,GDP at market prices (current US$),NY.GDP.MKTP.CD,5135073266957.00,4854079850320.62,2800663708581.64,A
246798,Colombia,GDP at market prices (current US$),NY.GDP.MKTP.CD,246654850270.01,238902053477.26,95920642806.27,B
250463,Comoros,GDP at market prices (current US$),NY.GDP.MKTP.CD,480638191.78,523646078.99,123418796.20,D
254128,"Congo, Dem. Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,20307717435.04,19206060270.25,5937321227.72,C
257793,"Congo, Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,10108268335.88,10726275415.87,3746824021.58,C
261458,Costa Rica,GDP at market prices (current US$),NY.GDP.MKTP.CD,32117082067.55,30587646962.96,11610067867.25,B
265123,Cote d'Ivoire,GDP at market prices (current US$),NY.GDP.MKTP.CD,22302860502.40,24251198480.85,5889839971.03,C
268788,Croatia,GDP at market prices (current US$),NY.GDP.MKTP.CD,54707926661.01,58717649769.71,13435360971.53,B
272453,Cuba,GDP at market prices (current US$),NY.GDP.MKTP.CD,59104923607.48,61443150000.00,14085076900.41,B
276118,Curacao,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,A
279783,Cyprus,GDP at market prices (current US$),NY.GDP.MKTP.CD,22926508983.91,24562972356.11,5314192093.91,C
283448,Czech Republic,GDP at market prices (current US$),NY.GDP.MKTP.CD,183672468924.80,206778204592.61,52629222349.64,B
287113,Denmark,GDP at market prices (current US$),NY.GDP.MKTP.CD,304226868931.04,321618373190.37,56334587302.02,A
290778,Djibouti,GDP at market prices (current US$),NY.GDP.MKTP.CD,1010126183.74,1024108012.00,292505643.62,D
294443,Dominica,GDP at market prices (current US$),NY.GDP.MKTP.CD,444805390.19,472094086.67,61094638.88,D
