,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
630376,Norway,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
634041,Oman,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.69,97.69,0.08,B
637706,Pakistan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,70.29,70.94,2.31,D
641371,Palau,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.84,99.84,,A
645036,Panama,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,96.86,96.86,1.10,C
648701,Papua New Guinea,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,66.68,66.68,,D
652366,Paraguay,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.47,98.55,0.36,B
656031,Peru,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.73,97.56,0.69,B
659696,Philippines,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,96.98,97.75,1.65,B
663361,Poland,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
667026,Portugal,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.44,99.44,,A
670691,Puerto Rico,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.83,98.83,,B
674356,Qatar,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.89,97.88,1.29,B
678021,Romania,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.00,99.00,,A
681686,Russian Federation,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.71,99.71,,A
685351,Rwanda,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,79.10,77.62,2.80,D
689016,Samoa,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.24,99.24,,A
692681,San Marino,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
696346,Sao Tome and Principe,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,88.47,88.47,11.69,C
700011,Saudi Arabia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.57,97.57,2.34,B
703676,Senegal,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,59.45,60.46,7.32,D
707341,Serbia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.31,99.31,,A
711006,Seychelles,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.97,98.97,,B
714671,Sierra Leone,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,57.02,57.02,,D
718336,Singapore,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.79,99.89,0.17,A
722001,Sint Maarten (Dutch part),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
725666,Slovak Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
729331,Slovenia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
732996,Solomon Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
736661,Somalia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
740326,South Africa,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.45,98.64,0.53,B
743991,South Sudan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,36.70,36.70,,D
747656,Spain,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.61,99.60,0.06,A
751321,Sri Lanka,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.87,97.98,0.35,B
754986,St. Kitts and Nevis,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
758651,St. Lucia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
762316,St. Martin (French part),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
