,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
679316,Russian Federation,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,13.16,13.21,1.47,D
682981,Rwanda,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,310.98,193.79,374.14,A
686646,Samoa,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,121.11,121.11,,A
690311,San Marino,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,8.59,8.59,0.86,D
693976,Sao Tome and Principe,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,128.40,128.40,,A
697641,Saudi Arabia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
701306,Senegal,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,208.47,211.40,33.06,A
704971,Serbia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,40.17,40.41,2.31,B
708636,Seychelles,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,542.52,542.52,,A
712301,Sierra Leone,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
715966,Singapore,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,25.85,26.05,2.06,C
719631,Sint Maarten (Dutch part),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
723296,Slovak Republic,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,20.70,18.97,3.38,C
726961,Slovenia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,22.29,21.92,1.64,C
730626,Solomon Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
734291,Somalia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
737956,South Africa,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,38.85,38.85,,B
741621,South Sudan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
745286,Spain,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,24.70,24.04,2.85,C
748951,Sri Lanka,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,19.36,19.24,3.47,D
752616,St. Kitts and Nevis,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
756281,St. Lucia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,15.30,14.57,1.36,D
759946,St. Martin (French part),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
763611,St. Vincent and the Grenadines,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
767276,Sudan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
770941,Suriname,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
774606,Swaziland,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,320.36,267.69,99.28,A
778271,Sweden,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,40.22,39.36,3.34,B
781936,Switzerland,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,42.94,41.10,4.55,B
785601,Syrian Arab Republic,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,45.38,45.45,2.36,B
789266,Tajikistan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,15.08,15.64,3.99,D
792931,Tanzania,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,704.93,714.51,41.01,A
796596,Thailand,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,22.04,20.32,5.97,C
800261,Timor-Leste,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,46.21,46.21,15.44,B
803926,Togo,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,99.07,89.18,27.31,A
807591,Tonga,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
811256,Trinidad and Tobago,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
814921,Tunisia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,52.09,49.91,8.09,B
818586,Turkey,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,24.82,24.30,1.75,C
822251,Turkmenistan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
825916,Turks and Caicos Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,0.00,0.00,,D
829581,Tuvalu,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
833246,Uganda,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,88.41,84.49,10.85,A
836911,Ukraine,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,36.28,36.48,4.59,B
840576,United Arab Emirates,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
844241,United Kingdom,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,25.54,23.92,5.79,C
847906,United States,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,21.16,20.89,1.44,C
851571,Uruguay,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,18.12,18.07,0.33,D
855236,Uzbekistan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
858901,Vanuatu,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,145.92,145.92,,A
862566,"Venezuela, RB",Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,19.90,19.90,,C
866231,Vietnam,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,35.91,32.11,9.78,B
869896,Virgin Islands (U.S.),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
873561,West Bank and Gaza,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
877226,"Yemen, Rep.",Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
880891,Zambia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
884556,Zimbabwe,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,192.41,254.92,109.05,A
